category,skos_concept,URI,ID,URL,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2058612/object_CHB_61dfb8efcfed05a8236aa17a2d0d3f8e02b0ef86,/2058612/object_CHB_61dfb8efcfed05a8236aa17a2d0d3f8e02b0ef86,https://upload.wikimedia.org/wikipedia/commons/c/cd/Abbaye_de_Saint-G%C3%A9nis-des-Fontaines_PM_47206.jpg,,,
building postcard,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/154/S_JVM_photo_JvmKDAA04334,/154/S_JVM_photo_JvmKDAA04334,http://mm.dimu.org/image/0231yTt3E7NF?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/91652/KBG_photo_KBGF058832,/91652/KBG_photo_KBGF058832,http://mm.dimu.org/image/022ynU6poF4E?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916121/S_OLM_photo_OLM_91_102_16229,/916121/S_OLM_photo_OLM_91_102_16229,https://mm.dimu.org/image/022wYWcJqMdG?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2058612/object_CHB_050391a5e38398e5ddf92fa71ad68ce3ec84431d,/2058612/object_CHB_050391a5e38398e5ddf92fa71ad68ce3ec84431d,https://upload.wikimedia.org/wikipedia/commons/b/b4/Alca%C3%B1iz%2C_Castillo_de_los_Calatravos_PM_06513.jpg,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916123/SLM_item_404851,/916123/SLM_item_404851,https://sokisamlingar.sormlandsmuseum.se/files/original/a06330dc49b1f328b32c6b4750131acc.JPG,,,
furniture photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/91652/KBG_photo_KBGF050844,/91652/KBG_photo_KBGF050844,http://mm.dimu.org/image/03TzecDQxP?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/154/S_JVM_photo_JvmKDAA08934,/154/S_JVM_photo_JvmKDAA08934,http://mm.dimu.org/image/0331yTzRt2R5?dimension=1200x1200,,,
woodwork photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/154/S_JVM_photo_JvmKDBA03175,/154/S_JVM_photo_JvmKDBA03175,http://mm.dimu.org/image/0331yxCX8SmZ?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2020708/CA_BA12857_62_3_131_iv,/2020708/CA_BA12857_62_3_131_iv,https://archaeologydataservice.ac.uk/catalogue/adsdata/arch-3370-1/dissemination/jpg/BA12857-62-3/CA_BA12857-62-3_131_iv.jpg,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916106/vbg_photo_VMG00035_064,/916106/vbg_photo_VMG00035_064,http://mm.dimu.org/image/0331wxL3KjD6?dimension=1200x1200,,,
