category,skos_concept,ID,URL,URI
clothing,http://vocab.getty.edu/aat/300266639,/2064105/Museu_ProvidedCHO_Livrustkammaren_47488,http://emuseumplus.lsh.se/eMuseumPlus?service=ImageAsset&module=collection&objectId=47488&resolution=superImageResolution,http://data.europeana.eu/item/2064105/Museu_ProvidedCHO_Livrustkammaren_47488
furniture photograph,http://data.europeana.eu/concept/base/37 http://data.europeana.eu/concept/base/48,/2020704/resource_document_rce_beeldbank_837866ec_3f22_11e4_9dc7_3b4bf4a0ed46_d8931e02_81f8_8ab6_d636_584475c70533,https://images.memorix.nl/rce/thumb/fullsize/5023dc26-12fa-de01-2780-70e8c120fac0.jpg,http://data.europeana.eu/item/2020704/resource_document_rce_beeldbank_837866ec_3f22_11e4_9dc7_3b4bf4a0ed46_d8931e02_81f8_8ab6_d636_584475c70533
building photograph postcard,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/48 http://data.europeana.eu/concept/base/50,/154/S_JVM_photo_JvmKCAC05889,http://mm.dimu.org/image/0231yTYL9ycQ?dimension=1200x1200,http://data.europeana.eu/item/154/S_JVM_photo_JvmKCAC05889
building photograph postcard,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/48 http://data.europeana.eu/concept/base/50,/154/S_JVM_photo_JvmKDAA11023,http://mm.dimu.org/image/0331yTzWGxhe?dimension=1200x1200,http://data.europeana.eu/item/154/S_JVM_photo_JvmKDAA11023
specimen,http://data.europeana.eu/concept/base/167,/11621/_NHMUK_BMNH_E__BMNH_E_1348233,http://www.nhm.ac.uk/services/media-store/asset/3aea37c5ced0f1cd918e3e1f8f964b80a18bc12b/contents/preview,http://data.europeana.eu/item/11621/_NHMUK_BMNH_E__BMNH_E_1348233
building photograph,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/48,/2021626/AtlantisPubliek_detail_aspx_xmldescid_1887156,http://collecties.allemolens.nl/HttpHandler/icoon.ico?file=1887150,http://data.europeana.eu/item/2021626/AtlantisPubliek_detail_aspx_xmldescid_1887156
map archaeological_site,http://data.europeana.eu/concept/base/43 http://vocab.getty.edu/aat/300266151,/330/RAN_101387_04,http://foto.cimec.ro/cronica/2016/011-Bucsani-GR-Punct-microzona-Bucsani/Fig3.jpg,http://data.europeana.eu/item/330/RAN_101387_04
furniture photograph woodwork,http://data.europeana.eu/concept/base/37 http://data.europeana.eu/concept/base/48 http://data.europeana.eu/concept/base/59,/91659/sk_object_SKAFOR0009050,http://mm.dimu.org/image/032yjyvAtjCj?dimension=1200x1200,http://data.europeana.eu/item/91659/sk_object_SKAFOR0009050
weaponry,http://vocab.getty.edu/aat/300036926,/2064105/Museu_ProvidedCHO_Livrustkammaren_41907,http://emuseumplus.lsh.se/eMuseumPlus?service=ImageAsset&module=collection&objectId=41907&resolution=superImageResolution,http://data.europeana.eu/item/2064105/Museu_ProvidedCHO_Livrustkammaren_41907
map,http://data.europeana.eu/concept/base/43,/9200227/BibliographicResource_3000073974072,http://digitale.bnc.roma.sbn.it/img/maps/bncr_4292630/bncr_4292630_001/full,http://data.europeana.eu/item/9200227/BibliographicResource_3000073974072
